id,height,weight,capture_rate,generation,habitat,shape,stats_hp,stats_attack,stats_defense,stats_special-attack,stats_special-defense,stats_speed,ability_1,ability_2,ability_3,name,type_1,type_2
82,10,600,60,generation-i,rough-terrain,heads,50,60,95,120,70,70,magnet-pull,sturdy,analytic,magneton,electric,steel
83,8,150,45,generation-i,grassland,wings,52,90,55,58,62,60,keen-eye,inner-focus,defiant,farfetchd,normal,flying
84,14,392,190,generation-i,grassland,legs,35,85,45,35,35,75,run-away,early-bird,tangled-feet,doduo,normal,flying
85,18,852,45,generation-i,grassland,legs,60,110,70,60,60,110,run-away,early-bird,tangled-feet,dodrio,normal,flying
86,11,900,190,generation-i,sea,fish,65,45,55,45,70,45,thick-fat,hydration,ice-body,seel,water,
87,17,1200,75,generation-i,sea,fish,90,70,80,70,95,70,thick-fat,hydration,ice-body,dewgong,water,ice
88,9,300,190,generation-i,urban,arms,80,80,50,40,50,25,stench,sticky-hold,poison-touch,grimer,poison,
89,12,300,75,generation-i,urban,arms,105,105,75,65,100,50,stench,sticky-hold,poison-touch,muk,poison,
90,3,40,190,generation-i,sea,ball,30,65,100,45,25,40,shell-armor,skill-link,overcoat,shellder,water,
91,15,1325,60,generation-i,sea,ball,50,95,180,85,45,70,shell-armor,skill-link,overcoat,cloyster,water,ice
92,13,1,190,generation-i,cave,ball,30,35,30,100,35,80,levitate,,,gastly,ghost,poison
93,16,1,90,generation-i,cave,arms,45,50,45,115,55,95,levitate,,,haunter,ghost,poison
94,15,405,45,generation-i,cave,upright,60,65,60,130,75,110,cursed-body,,,gengar,ghost,poison
95,88,2100,45,generation-i,cave,squiggle,35,45,160,30,45,70,rock-head,sturdy,weak-armor,onix,rock,ground
96,10,324,190,generation-i,grassland,humanoid,60,48,45,43,90,42,insomnia,forewarn,inner-focus,drowzee,psychic,
97,16,756,75,generation-i,grassland,humanoid,85,73,70,73,115,67,insomnia,forewarn,inner-focus,hypno,psychic,
98,4,65,225,generation-i,waters-edge,armor,30,105,90,25,25,50,hyper-cutter,shell-armor,sheer-force,krabby,water,
99,13,600,60,generation-i,waters-edge,armor,55,130,115,50,50,75,hyper-cutter,shell-armor,sheer-force,kingler,water,
100,5,104,190,generation-i,urban,ball,40,30,50,55,55,100,soundproof,static,aftermath,voltorb,electric,
101,12,666,60,generation-i,urban,ball,60,50,70,80,80,150,soundproof,static,aftermath,electrode,electric,
102,4,25,90,generation-i,forest,heads,60,40,80,60,45,40,chlorophyll,harvest,,exeggcute,grass,psychic
103,20,1200,45,generation-i,forest,legs,95,95,85,125,75,55,chlorophyll,harvest,,exeggutor,grass,psychic
104,4,65,190,generation-i,mountain,upright,50,50,95,40,50,35,rock-head,lightning-rod,battle-armor,cubone,ground,
105,10,450,75,generation-i,mountain,upright,60,80,110,50,80,45,rock-head,lightning-rod,battle-armor,marowak,ground,
106,15,498,45,generation-i,urban,humanoid,50,120,53,35,110,87,limber,reckless,unburden,hitmonlee,fighting,
107,14,502,45,generation-i,urban,humanoid,50,105,79,35,110,76,keen-eye,iron-fist,inner-focus,hitmonchan,fighting,
108,12,655,45,generation-i,grassland,upright,90,55,75,60,75,30,own-tempo,oblivious,cloud-nine,lickitung,normal,
109,6,10,190,generation-i,urban,ball,40,65,95,60,45,35,levitate,neutralizing-gas,stench,koffing,poison,
110,12,95,60,generation-i,urban,heads,65,90,120,85,70,60,levitate,neutralizing-gas,stench,weezing,poison,
111,10,1150,120,generation-i,rough-terrain,quadruped,80,85,95,30,30,25,lightning-rod,rock-head,reckless,rhyhorn,ground,rock
112,19,1200,60,generation-i,rough-terrain,upright,105,130,120,45,45,40,lightning-rod,rock-head,reckless,rhydon,ground,rock
113,11,346,30,generation-i,urban,upright,250,5,5,35,105,50,natural-cure,serene-grace,healer,chansey,normal,
114,10,350,45,generation-i,grassland,legs,65,55,115,100,40,60,chlorophyll,leaf-guard,regenerator,tangela,grass,
115,22,800,45,generation-i,grassland,upright,105,95,80,40,80,90,early-bird,scrappy,inner-focus,kangaskhan,normal,
116,4,80,225,generation-i,sea,blob,30,40,70,70,25,60,swift-swim,sniper,damp,horsea,water,
117,12,250,75,generation-i,sea,blob,55,65,95,95,45,85,poison-point,sniper,damp,seadra,water,
118,6,150,225,generation-i,waters-edge,fish,45,67,60,35,50,63,swift-swim,water-veil,lightning-rod,goldeen,water,
119,13,390,60,generation-i,waters-edge,fish,80,92,65,65,80,68,swift-swim,water-veil,lightning-rod,seaking,water,
120,8,345,225,generation-i,sea,blob,30,45,55,70,55,85,illuminate,natural-cure,analytic,staryu,water,
121,11,800,60,generation-i,sea,blob,60,75,85,100,85,115,illuminate,natural-cure,analytic,starmie,water,psychic
122,13,545,45,generation-i,urban,humanoid,40,45,65,100,120,90,soundproof,filter,technician,mr-mime,psychic,fairy
123,15,560,45,generation-i,grassland,bug-wings,70,110,80,55,80,105,swarm,technician,steadfast,scyther,bug,flying
124,14,406,45,generation-i,urban,humanoid,65,50,35,115,95,95,oblivious,forewarn,dry-skin,jynx,ice,psychic
125,11,300,45,generation-i,grassland,upright,65,83,57,95,85,105,static,vital-spirit,,electabuzz,electric,
126,13,445,45,generation-i,mountain,upright,65,95,57,100,85,93,flame-body,vital-spirit,,magmar,fire,
127,15,550,45,generation-i,forest,humanoid,65,125,100,55,70,85,hyper-cutter,mold-breaker,moxie,pinsir,bug,
128,14,884,45,generation-i,grassland,quadruped,75,100,95,40,70,110,intimidate,anger-point,sheer-force,tauros,normal,
129,9,100,255,generation-i,waters-edge,fish,20,10,55,15,20,80,swift-swim,rattled,,magikarp,water,
130,65,2350,45,generation-i,waters-edge,squiggle,95,125,79,60,100,81,intimidate,moxie,,gyarados,water,flying
131,25,2200,45,generation-i,sea,fish,130,85,80,85,95,60,water-absorb,shell-armor,hydration,lapras,water,ice
132,3,40,35,generation-i,urban,ball,48,48,48,48,48,48,limber,imposter,,ditto,normal,
133,3,65,45,generation-i,urban,quadruped,55,55,50,45,65,55,run-away,adaptability,anticipation,eevee,normal,
134,10,290,45,generation-i,urban,quadruped,130,65,60,110,95,65,water-absorb,hydration,,vaporeon,water,
135,8,245,45,generation-i,urban,quadruped,65,65,60,110,95,130,volt-absorb,quick-feet,,jolteon,electric,
136,9,250,45,generation-i,urban,quadruped,65,130,60,95,110,65,flash-fire,guts,,flareon,fire,
137,8,365,45,generation-i,urban,legs,65,60,70,85,75,40,trace,download,analytic,porygon,normal,
138,4,75,45,generation-i,sea,tentacles,35,40,100,90,55,35,swift-swim,shell-armor,weak-armor,omanyte,rock,water
139,10,350,45,generation-i,sea,tentacles,70,60,125,115,70,55,swift-swim,shell-armor,weak-armor,omastar,rock,water
140,5,115,45,generation-i,sea,armor,30,80,90,55,45,55,swift-swim,battle-armor,weak-armor,kabuto,rock,water
141,13,405,45,generation-i,sea,upright,60,115,105,65,70,80,swift-swim,battle-armor,weak-armor,kabutops,rock,water
142,18,590,45,generation-i,mountain,wings,80,105,65,60,75,130,rock-head,pressure,unnerve,aerodactyl,rock,flying
143,21,4600,25,generation-i,mountain,humanoid,160,110,65,65,110,30,immunity,thick-fat,gluttony,snorlax,normal,
144,17,554,3,generation-i,rare,wings,90,85,100,95,125,85,pressure,snow-cloak,,articuno,ice,flying
145,16,526,3,generation-i,rare,wings,90,90,85,125,90,100,pressure,static,,zapdos,electric,flying
146,20,600,3,generation-i,rare,wings,90,100,90,125,85,90,pressure,flame-body,,moltres,fire,flying
147,18,33,45,generation-i,waters-edge,squiggle,41,64,45,50,50,50,shed-skin,marvel-scale,,dratini,dragon,
148,40,165,45,generation-i,waters-edge,squiggle,61,84,65,70,70,70,shed-skin,marvel-scale,,dragonair,dragon,
149,22,2100,45,generation-i,waters-edge,upright,91,134,95,100,100,80,inner-focus,multiscale,,dragonite,dragon,flying
150,20,1220,3,generation-i,rare,upright,106,110,90,154,90,130,pressure,unnerve,,mewtwo,psychic,
151,4,40,45,generation-i,rare,upright,100,100,100,100,100,100,synchronize,,,mew,psychic,
152,9,64,45,generation-ii,grassland,quadruped,45,49,65,49,65,45,overgrow,leaf-guard,,chikorita,grass,
153,12,158,45,generation-ii,grassland,quadruped,60,62,80,63,80,60,overgrow,leaf-guard,,bayleef,grass,
154,18,1005,45,generation-ii,grassland,quadruped,80,82,100,83,100,80,overgrow,leaf-guard,,meganium,grass,
155,5,79,45,generation-ii,grassland,humanoid,39,52,43,60,50,65,blaze,flash-fire,,cyndaquil,fire,
156,9,190,45,generation-ii,grassland,quadruped,58,64,58,80,65,80,blaze,flash-fire,,quilava,fire,
157,17,795,45,generation-ii,grassland,quadruped,78,84,78,109,85,100,blaze,flash-fire,,typhlosion,fire,
158,6,95,45,generation-ii,waters-edge,upright,50,65,64,44,48,43,torrent,sheer-force,,totodile,water,
159,11,250,45,generation-ii,waters-edge,upright,65,80,80,59,63,58,torrent,sheer-force,,croconaw,water,
160,23,888,45,generation-ii,waters-edge,upright,85,105,100,79,83,78,torrent,sheer-force,,feraligatr,water,
161,8,60,255,generation-ii,grassland,quadruped,35,46,34,35,45,20,run-away,keen-eye,frisk,sentret,normal,
162,18,325,90,generation-ii,grassland,quadruped,85,76,64,45,55,90,run-away,keen-eye,frisk,furret,normal,
163,7,212,255,generation-ii,forest,wings,60,30,30,36,56,50,insomnia,keen-eye,tinted-lens,hoothoot,normal,flying
164,16,408,90,generation-ii,forest,wings,100,50,50,86,96,70,insomnia,keen-eye,tinted-lens,noctowl,normal,flying
165,10,108,255,generation-ii,forest,wings,40,20,30,40,80,55,swarm,early-bird,rattled,ledyba,bug,flying
166,14,356,90,generation-ii,forest,wings,55,35,50,55,110,85,swarm,early-bird,iron-fist,ledian,bug,flying
167,5,85,255,generation-ii,forest,armor,40,60,40,40,40,30,swarm,insomnia,sniper,spinarak,bug,poison
168,11,335,90,generation-ii,forest,armor,70,90,70,60,70,40,swarm,insomnia,sniper,ariados,bug,poison
169,18,750,90,generation-ii,cave,bug-wings,85,90,80,70,80,130,inner-focus,infiltrator,,crobat,poison,flying
170,5,120,190,generation-ii,sea,fish,75,38,38,56,56,67,volt-absorb,illuminate,water-absorb,chinchou,water,electric
171,12,225,75,generation-ii,sea,fish,125,58,58,76,76,67,volt-absorb,illuminate,water-absorb,lanturn,water,electric
172,3,20,190,generation-ii,forest,quadruped,20,40,15,35,35,60,static,lightning-rod,,pichu,electric,
173,3,30,150,generation-ii,mountain,upright,50,25,28,45,55,15,cute-charm,magic-guard,friend-guard,cleffa,fairy,
174,3,10,170,generation-ii,grassland,humanoid,90,30,15,40,20,15,cute-charm,competitive,friend-guard,igglybuff,normal,fairy
175,3,15,190,generation-ii,forest,humanoid,35,20,65,40,65,20,hustle,serene-grace,super-luck,togepi,fairy,
176,6,32,75,generation-ii,forest,humanoid,55,40,85,80,105,40,hustle,serene-grace,super-luck,togetic,fairy,flying
177,2,20,190,generation-ii,forest,wings,40,50,45,70,45,70,synchronize,early-bird,magic-bounce,natu,psychic,flying
178,15,150,75,generation-ii,forest,wings,65,75,70,95,70,95,synchronize,early-bird,magic-bounce,xatu,psychic,flying
179,6,78,235,generation-ii,grassland,quadruped,55,40,40,65,45,35,static,plus,,mareep,electric,
180,8,133,120,generation-ii,grassland,upright,70,55,55,80,60,45,static,plus,,flaaffy,electric,
181,14,615,45,generation-ii,grassland,upright,90,75,85,115,90,55,static,plus,,ampharos,electric,
182,4,58,45,generation-ii,grassland,humanoid,75,80,95,90,100,50,chlorophyll,healer,,bellossom,grass,
183,4,85,190,generation-ii,waters-edge,upright,70,20,50,20,50,40,thick-fat,huge-power,sap-sipper,marill,water,fairy
184,8,285,75,generation-ii,waters-edge,upright,100,50,80,60,80,50,thick-fat,huge-power,sap-sipper,azumarill,water,fairy
185,12,380,65,generation-ii,forest,humanoid,70,100,115,30,65,30,sturdy,rock-head,rattled,sudowoodo,rock,
186,11,339,45,generation-ii,waters-edge,humanoid,90,75,75,90,100,70,water-absorb,damp,drizzle,politoed,water,
187,4,5,255,generation-ii,grassland,upright,35,35,40,35,55,50,chlorophyll,leaf-guard,infiltrator,hoppip,grass,flying
188,6,10,120,generation-ii,grassland,upright,55,45,50,45,65,80,chlorophyll,leaf-guard,infiltrator,skiploom,grass,flying
189,8,30,45,generation-ii,grassland,upright,75,55,70,55,95,110,chlorophyll,leaf-guard,infiltrator,jumpluff,grass,flying
190,8,115,45,generation-ii,forest,upright,55,70,55,40,55,85,run-away,pickup,skill-link,aipom,normal,
191,3,18,235,generation-ii,grassland,ball,30,30,30,30,30,30,chlorophyll,solar-power,early-bird,sunkern,grass,
192,8,85,120,generation-ii,grassland,humanoid,75,75,55,105,85,30,chlorophyll,solar-power,early-bird,sunflora,grass,
193,12,380,75,generation-ii,forest,bug-wings,65,65,45,75,45,95,speed-boost,compound-eyes,frisk,yanma,bug,flying
194,4,85,255,generation-ii,waters-edge,legs,55,45,45,25,25,15,damp,water-absorb,unaware,wooper,water,ground
195,14,750,90,generation-ii,waters-edge,upright,95,85,85,65,65,35,damp,water-absorb,unaware,quagsire,water,ground
196,9,265,45,generation-ii,urban,quadruped,65,65,60,130,95,110,synchronize,magic-bounce,,espeon,psychic,
197,10,270,45,generation-ii,urban,quadruped,95,65,110,60,130,65,synchronize,inner-focus,,umbreon,dark,
198,5,21,30,generation-ii,forest,wings,60,85,42,85,42,91,insomnia,super-luck,prankster,murkrow,dark,flying
199,20,795,70,generation-ii,waters-edge,upright,95,75,80,100,110,30,oblivious,own-tempo,regenerator,slowking,water,psychic
200,7,10,45,generation-ii,cave,ball,60,60,60,85,85,85,levitate,,,misdreavus,ghost,
201,5,50,225,generation-ii,rare,ball,48,72,48,72,48,48,levitate,,,unown,psychic,
202,13,285,45,generation-ii,cave,blob,190,33,58,33,58,33,shadow-tag,telepathy,,wobbuffet,psychic,
203,15,415,60,generation-ii,grassland,quadruped,70,80,65,90,65,85,inner-focus,early-bird,sap-sipper,girafarig,normal,psychic
204,6,72,190,generation-ii,forest,ball,50,65,90,35,35,15,sturdy,overcoat,,pineco,bug,
205,12,1258,75,generation-ii,forest,ball,75,90,140,60,60,40,sturdy,overcoat,,forretress,bug,steel
206,15,140,190,generation-ii,cave,squiggle,100,70,70,65,65,45,serene-grace,run-away,rattled,dunsparce,normal,
207,11,648,60,generation-ii,mountain,wings,65,75,105,35,65,85,hyper-cutter,sand-veil,immunity,gligar,ground,flying
208,92,4000,25,generation-ii,cave,squiggle,75,85,200,55,65,30,rock-head,sturdy,sheer-force,steelix,steel,ground
209,6,78,190,generation-ii,urban,humanoid,60,80,50,40,40,30,intimidate,run-away,rattled,snubbull,fairy,
210,14,487,75,generation-ii,urban,upright,90,120,75,60,60,45,intimidate,quick-feet,rattled,granbull,fairy,
211,5,39,45,generation-ii,sea,fish,65,95,85,55,55,85,poison-point,swift-swim,intimidate,qwilfish,water,poison
212,18,1180,25,generation-ii,grassland,bug-wings,70,130,100,55,80,65,swarm,technician,light-metal,scizor,bug,steel
213,6,205,190,generation-ii,mountain,armor,20,10,230,10,230,5,sturdy,gluttony,contrary,shuckle,bug,rock
214,15,540,45,generation-ii,forest,humanoid,80,125,75,40,95,85,swarm,guts,moxie,heracross,bug,fighting
215,9,280,60,generation-ii,forest,upright,55,95,55,35,75,115,inner-focus,keen-eye,pickpocket,sneasel,dark,ice
216,6,88,120,generation-ii,mountain,upright,60,80,50,50,50,40,pickup,quick-feet,honey-gather,teddiursa,normal,
217,18,1258,60,generation-ii,mountain,upright,90,130,75,75,75,55,guts,quick-feet,unnerve,ursaring,normal,
218,7,350,190,generation-ii,mountain,squiggle,40,40,40,70,40,20,magma-armor,flame-body,weak-armor,slugma,fire,
219,8,550,75,generation-ii,mountain,squiggle,60,50,120,90,80,30,magma-armor,flame-body,weak-armor,magcargo,fire,rock
220,4,65,225,generation-ii,cave,quadruped,50,50,40,30,30,50,oblivious,snow-cloak,thick-fat,swinub,ice,ground
221,11,558,75,generation-ii,cave,quadruped,100,100,80,60,60,50,oblivious,snow-cloak,thick-fat,piloswine,ice,ground
222,6,50,60,generation-ii,sea,armor,65,55,95,65,95,35,hustle,natural-cure,regenerator,corsola,water,rock
223,6,120,190,generation-ii,sea,fish,35,65,35,65,35,65,hustle,sniper,moody,remoraid,water,
224,9,285,75,generation-ii,sea,tentacles,75,105,75,105,75,45,suction-cups,sniper,moody,octillery,water,
225,9,160,45,generation-ii,mountain,wings,45,55,45,65,45,75,vital-spirit,hustle,insomnia,delibird,ice,flying
226,21,2200,25,generation-ii,sea,wings,85,40,70,80,140,70,swift-swim,water-absorb,water-veil,mantine,water,flying
227,17,505,25,generation-ii,rough-terrain,wings,65,80,140,40,70,70,keen-eye,sturdy,weak-armor,skarmory,steel,flying
228,6,108,120,generation-ii,rough-terrain,quadruped,45,60,30,80,50,65,early-bird,flash-fire,unnerve,houndour,dark,fire
229,14,350,45,generation-ii,rough-terrain,quadruped,75,90,50,110,80,95,early-bird,flash-fire,unnerve,houndoom,dark,fire
230,18,1520,45,generation-ii,sea,blob,75,95,95,95,95,85,swift-swim,sniper,damp,kingdra,water,dragon
231,5,335,120,generation-ii,rough-terrain,quadruped,90,60,60,40,40,40,pickup,sand-veil,,phanpy,ground,
232,11,1200,60,generation-ii,rough-terrain,quadruped,90,120,120,60,60,50,sturdy,sand-veil,,donphan,ground,
233,6,325,45,generation-ii,urban,legs,85,80,90,105,95,60,trace,download,analytic,porygon2,normal,
234,14,712,45,generation-ii,forest,quadruped,73,95,62,85,65,85,intimidate,frisk,sap-sipper,stantler,normal,
235,12,580,45,generation-ii,urban,upright,55,20,35,20,45,75,own-tempo,technician,moody,smeargle,normal,
236,7,210,75,generation-ii,urban,humanoid,35,35,35,35,35,35,guts,steadfast,vital-spirit,tyrogue,fighting,
237,14,480,45,generation-ii,urban,upright,50,95,95,35,110,70,intimidate,technician,steadfast,hitmontop,fighting,
238,4,60,45,generation-ii,urban,humanoid,45,30,15,85,65,65,oblivious,forewarn,hydration,smoochum,ice,psychic
239,6,235,45,generation-ii,grassland,humanoid,45,63,37,65,55,95,static,vital-spirit,,elekid,electric,
240,7,214,45,generation-ii,mountain,upright,45,75,37,70,55,83,flame-body,vital-spirit,,magby,fire,
241,12,755,45,generation-ii,grassland,upright,95,80,105,40,70,100,thick-fat,scrappy,sap-sipper,miltank,normal,
242,15,468,30,generation-ii,urban,humanoid,255,10,10,75,135,55,natural-cure,serene-grace,healer,blissey,normal,
